#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
-59.27953,564,936.197761
-51.828162,277,936.604305
197.277988,500,937.339031
223.419341,396,937.932279
192.009768,581,940.153962
178.797432,668,941.162534
151.379214,864,942.520762
124.158503,957,945.39981
-115.718843,666,946.432093
154.44831,699,953.403813
209.536163,478,955.347432
56.967751,1000,956.742662
205.984943,405,957.31658
162.960592,451,959.284554
-21.814291,457,959.966476
207.323417,549,960.879725
-171.719382,328,961.390406
219.217132,565,962.224556
197.865632,693,964.647248
-42.851624,385,965.22517
204.277913,771,966.35842
-92.364306,249,966.712169
159.001783,495,968.784836
-73.144175,769,969.953617
162.353719,562,970.76682
-68.002883,217,971.0819
84.181634,1000,973.921803
-58.177662,264,974.318986
200.016452,510,979.673736
189.29416,516,981.767191
144.321545,606,982.615838
163.695974,716,983.665525
201.378942,482,984.406813
-41.520237,571,986.629671
-60.540337,251,987.021651
-88.242322,546,987.840729
178.544446,525,988.614893
-71.327029,290,990.364441
-16.395842,394,990.960436
-37.835471,399,991.538587
189.16155,611,992.421757
172.244198,713,994.814189
-44.139656,657,995.760048
189.761119,652,996.771665
142.150642,594,999.038385
-71.890863,267,999.423831
215.661048,475,1000.132005
-80.706455,396,1005.195645
217.485459,546,1006.044533
211.320099,396,1008.07675
-39.261117,320,1008.553712
207.315891,462,1009.223747
-89.894244,355,1009.738555
198.769076,469,1010.427619
200.297463,481,1012.441617
192.372299,527,1013.216936
81.373374,1000,1014.702145
159.790903,574,1016.900237
145.873705,396,1017.488606
197.671255,507,1018.219897
-45.572931,338,1018.727019
-84.705756,265,1019.125802
199.534608,534,1021.315852
-62.754916,397,1021.894281
-58.305222,226,1022.223615
127.198669,808,1023.448324
-96.074208,458,1024.134417
-72.609228,643,1026.492065
169.491775,583,1032.060176
-76.736304,487,1032.790013
212.476593,413,1034.734702
201.626214,453,1035.421827
72.447338,1000,1036.902025
-102.501148,425,1037.561803
-5.119357,1000,1040.378587
-57.107135,497,1041.128137
-71.268266,365,1041.671531
133.22847,620,1043.92564
-56.024409,315,1044.406657
-83.627965,568,1045.284677
-63.86711,276,1045.703877
175.335854,363,1046.268501
218.734756,494,1048.42355
115.53906,518,1049.203737
159.343776,558,1050.013495
84.019932,1000,1052.789185
176.464471,655,1058.025682
-38.180713,376,1058.594357
141.555627,491,1059.336643
-70.572664,275,1061.04653
175.059828,588,1061.894621
210.387741,479,1062.625114
-117.568793,555,1063.458663
135.281934,696,1065.905646
210.403593,411,1066.527643
-88.415194,520,1067.306541
-59.668301,316,1067.76994
189.464654,441,1068.403542
129.678347,1000,1071.223532
190.500294,600,1072.106803
-30.288222,244,1072.488847
257.340536,501,1074.521385
213.53068,458,1075.182099
171.485953,475,1075.856727
276.639067,660,1076.802
219.743454,541,1079.006658
-33.120728,310,1083.379129
-21.982799,300,1083.819583
173.137617,472,1084.497126
206.850285,472,1085.1641
170.624325,533,1087.249981
182.383519,736,1088.333115
186.812055,519,1089.089202
207.016474,540,1091.245282
223.225047,392,1091.784399
-76.141776,372,1092.320031
228.20606,461,1092.962057
-12.972053,1000,1095.669576
-148.248786,555,1096.459427
226.49806,477,1097.114999
190.591953,523,1097.85219
143.896985,567,1100.114557
208.322516,525,1100.889048
