#{"t_start": 1778599250.2694674, "env_id": "LunarLander-v3"}
r,l,t
218.91468,483,451.475563
58.777184,1000,452.52795
114.708546,927,453.519548
9.974288,1000,454.572784
219.811525,809,455.383788
10.226657,1000,456.372777
-50.899796,1000,457.377357
275.666105,295,457.679785
179.864667,811,458.516079
111.304209,988,462.666346
281.059442,356,463.05302
-29.476037,1000,464.12043
220.842237,463,464.583238
288.84077,277,464.862323
196.780699,695,465.588717
3.866057,1000,466.650586
-21.41874,212,466.902018
-20.945982,1000,467.927759
69.248669,1000,468.958097
173.472085,776,469.754561
239.822611,613,470.406128
67.919479,132,470.541671
263.809016,234,470.774605
268.211415,309,471.090289
178.07251,768,471.876737
282.939217,352,472.256948
160.377671,650,477.028549
249.081261,329,477.400792
147.348599,896,478.329785
156.480022,443,478.794348
221.382974,427,479.232997
258.963901,370,479.623649
198.836498,721,480.349093
277.106229,228,480.582199
197.704975,786,481.371395
255.797916,500,481.875059
238.165071,594,482.464141
154.021196,702,483.172057
196.137615,838,484.033826
186.798251,652,484.70939
185.059772,639,485.368183
23.130937,1000,486.389653
231.666074,543,489.414466
-22.313851,1000,490.464076
253.313808,569,491.052863
176.201913,592,491.680928
199.612113,578,492.266999
64.928736,162,492.433487
6.458678,1000,493.483247
-43.111916,386,493.86641
206.668958,587,494.459672
133.398822,780,495.231483
147.14119,975,496.188883
31.614413,151,496.334638
207.366039,738,497.055527
24.4165,1000,498.043052
244.854159,852,498.891498
142.666405,769,502.679757
283.381476,211,502.924437
222.833009,295,503.241374
243.96405,424,503.698702
255.129164,377,504.125622
252.996807,546,504.718488
4.559291,1000,505.759483
285.613811,431,506.23902
286.497189,288,506.521768
23.207381,1000,507.498208
195.01094,456,507.944496
251.935061,396,508.332816
183.151607,568,508.891708
259.600298,336,509.227443
2.899853,1000,510.218947
27.972458,1000,511.18872
203.151998,678,511.884296
211.204482,356,512.232323
274.178288,241,512.477952
28.196045,1000,516.340244
-95.449678,125,516.480496
221.933239,555,517.043558
195.027608,533,517.586223
269.524352,348,517.942716
238.117967,349,518.294536
268.401627,515,518.829699
278.61514,239,519.083046
255.582155,242,519.326595
217.811708,516,519.857713
266.103311,247,520.109778
229.929515,466,520.578452
243.61308,209,520.796398
258.56108,206,521.017669
229.741458,435,521.454515
263.44856,392,521.850735
281.206134,284,522.142513
253.518106,368,522.512252
280.572718,272,522.784587
-19.08774,244,523.038782
245.376249,308,523.344608
43.866654,1000,524.349305
246.081089,351,524.70593
252.968688,383,525.094572
252.151133,290,525.396341
240.971499,503,528.200939
257.755794,445,528.671143
218.835096,465,529.184891
231.15478,517,529.750575
223.455105,435,530.22972
258.438239,376,530.625938
237.674693,276,530.913904
218.084367,395,531.337529
276.800358,250,531.619263
222.26025,463,532.12324
264.81745,525,532.653741
244.081491,540,533.185265
74.099756,153,533.338642
275.945886,237,533.577325
264.616834,273,533.848586
261.683104,235,534.075989
305.529519,246,534.31869
239.392814,285,534.598809
252.684891,569,535.161223
11.464132,155,535.312851
34.514313,131,535.444437
310.320209,243,535.703592
285.249619,252,535.954707
293.999446,230,536.171755
263.475089,283,536.449245
289.848484,242,536.688957
230.694956,413,537.093213
232.413368,417,537.51616
46.146047,133,537.644679
228.952915,539,539.774284
213.131827,575,540.350566
242.075684,248,540.594331
282.142,264,540.879483
225.500987,390,541.291367
261.36294,637,541.952675
285.781697,256,542.21781
236.497159,349,542.565521
82.568905,140,542.712681
293.693385,451,543.174278
279.166054,327,543.508839
258.958403,280,543.792074
255.561698,244,544.041523
271.90143,321,544.362407
54.456479,147,544.504987
25.357385,121,544.623028
52.367795,150,544.775344
264.402801,273,545.058032
279.282423,173,545.23843
273.19285,358,545.624816
275.046976,271,545.929674
47.197306,148,546.082829
277.824044,228,546.338056
225.91679,383,546.746675
62.042218,125,546.886575
-159.377803,862,547.784874
36.713719,115,547.904439
242.342404,304,548.24498
262.475631,623,548.890291
48.935796,161,549.066484
83.446026,241,549.316503
265.365673,184,549.524595
15.392628,117,549.652495
22.096574,133,549.786241
30.505505,140,549.928486
24.099899,126,550.073482
65.380654,139,551.688427
257.305847,223,551.91462
67.005039,166,552.076602
261.829836,201,552.28633
30.472328,128,552.420613
61.064678,181,552.608304
270.669644,247,552.862771
258.464386,300,553.16137
29.715317,136,553.296482
256.684143,239,553.534454
54.500295,170,553.7001
263.189044,204,553.902706
289.030392,231,554.137455
246.153263,401,554.533274
76.597882,177,554.71312
48.897123,146,554.854659
297.208228,249,555.110396
299.276576,209,555.318051
33.698788,142,555.459745
49.892395,142,555.612502
273.360674,240,555.862861
48.888019,217,556.080256
54.5115,233,556.314386
38.652289,131,556.446498
29.115803,168,556.623061
241.377786,494,557.116501
302.179233,256,557.375556
299.765864,202,557.588735
27.490648,168,557.774313
278.012356,450,558.246855
275.408939,224,558.468227
66.360049,154,558.625759
36.699159,143,558.768972
59.760428,127,558.910245
47.846479,146,559.074347
279.982866,261,559.339369
268.649541,211,559.567873
254.778495,189,559.756539
269.332047,254,560.029384
208.771869,879,560.996677
219.714563,352,561.363533
72.753949,145,561.516052
284.018264,194,561.726218
256.634879,211,561.965418
215.757509,945,566.786755
303.357377,331,567.132705
28.052948,139,567.263947
264.011518,264,567.54363
275.677696,404,567.966967
264.853556,315,568.293205
80.145935,1000,569.338009
294.176237,166,569.501697
254.195396,266,569.787237
250.489811,397,570.203408
172.27067,1000,571.256789
284.44752,190,571.444316
246.178758,207,571.666507
40.223182,165,571.843264
